,Australia,,https://hddn01.skylinewebcams.com/live.m3u8?a=bh0l1il79ul4fpi746did5ujc7,490c0ffb73834be2af5ed84c880d5148,HTTP,https://www.skylinewebcams.com/en/webcam/australia/new-south-wales/sydney/rose-bay-sydney.html,Beach,
Adelaide,Australia,,https://usa302.extcam.com/hls/playlist.m3u8?hlsId=edb6dd84611c409d8b2134d5be443b94_200001213429_0&token=3701d01a27959111065f57bb059bf536,b4c8cac31b4a4859ac5b5a483398f0fb,HTTP,https://www.webcamtaxi.com/en/australia/south-australia/moana-beach.html,Beach,
Melboune,Australia,,https://www.youtube.com/watch?v=EpvIAopAYbw&list=PLwygboCFkeeA2w1fzJm44swdG-NnyB6ip&index=34,h092zALqYg,,,Traffic,
Innsbruck,Austria,,https://www.youtube.com/watch?v=0nhJrkCgbbo&list=PLwygboCFkeeA2w1fzJm44swdG-NnyB6ip&index=167,a7XIiHtjic,,,Traffic,
Natal,Brazil,,https://www.whatsupcams.com/en/webcams/brazil/rio-grande-do-norte/natal/ponta-negra-beach-natal/,39c3fddb8b3848aa9ad2a5e8df05a6fa,HTTP,,beach,
White Bay,British Virgin Islands,,https://www.youtube.com/watch?v=LXWVYoBluT4&list=PLwygboCFkeeA2w1fzJm44swdG-NnyB6ip&index=147,1mZKo5JXaH,,,beach,
Mandalay,Burma,,https://www.mylivestreams.com/webcams/burma-live-streaming-video-webcams/10093.html,7449fcf3355245b0b7649eec3c0755db,HTTP,,Street,"Multiple cams, all Street"
Ottawa,Canada,,http://67.69.107.188/view/viewer_index.shtml?id=34083,8762c922dda64126b21515a36d2db0c2,IP,,Traffic,
Ottawa,Canada,,https://www.webcamgalore.com/webcam/Canada/Ottawa/117.html,5efe7ce2a8a24d70a3df0c18cbe6e50a,HTTP,,Street,Landmark
Ottawa,Canada,,https://www.tpsgc-pwgsc.gc.ca/citeparlementaire-parliamentaryprecinct/camera-eng.html,063c48cadc564015aaa76ae486297c7d,HTTP,,Street,Landmark
Banff,Canada,,https://www.youtube.com/watch?v=MUS9EEtMV_c,C07iR0tx2u,,,Traffic,
Calgary,Canada,,https://www.youtube.com/watch?v=iGxFLjqhkSA&list=PLwygboCFkeeA2w1fzJm44swdG-NnyB6ip&index=139,NVQeFb5cSx,,,Traffic,
Calgary,Canada,,https://www.youtube.com/watch?v=WOn7m0_aYBw&list=PLwygboCFkeeA2w1fzJm44swdG-NnyB6ip&index=159,rX5TZYyhiS,,,street,
"mprovement District No. 9, AB,",Canada,,https://www.youtube.com/watch?v=oT4s0SlQ89E&list=PLwygboCFkeeA2w1fzJm44swdG-NnyB6ip&index=163,dwwo3JmWn9,,,Traffic,
"Revelstoke, British Columbia, ",Canada,,https://www.youtube.com/watch?v=FEfNcfkfobA&list=PLwygboCFkeeA2w1fzJm44swdG-NnyB6ip&index=199,cau3IqldXR,,,Traffic,
"Canmore, Alberta",Canada,,https://www.youtube.com/watch?v=hORCPr-jWhk&list=PLwygboCFkeeA2w1fzJm44swdG-NnyB6ip&index=200,G5EGjg6JO7,,,Street,
Wuhan,China,,https://www.youtube.com/watch?v=WOxw55CBwL4,bbccdba199b541888379acbec989571e,HTTP,,Street,Hospital inside
Sichuan,China,,"https://www.windy.com/-Webcams/China/Sichuan/Shiban-tan/Chengdu/webcams/1579778267?34.053,103.491,5",19188561705e450da57fb38cef6c5381,HTTP,,Traffic,
,China,,http://www.dsat.gov.mo/dsat/realtime.aspx,9cde3cb1c5464de9b44600fc4cad3ddf,HTTP,,Traffic,
Macau,China,,http://www.puiching.edu.mo/webcam/index.html,2018f5ae4a874a97862528431834873a,HTTP,,Street,
Beijing,China,,https://www.webcamgalore.com/webcam/China/Beijing/28626.html,66a211f0116344ff9fe4fb495399f2e0,HTTP,,Street,
Beijing,China,,https://www.webcamgalore.com/webcam/China/Beijing/28622.html,ec74e2b8dd004ffaa509613ad0c35dc2,HTTP,,Street,Skyline
Beijing,China,,https://www.webcamgalore.com/webcam/China/Beijing/33437.html,b77f13af1e434fdbb3e7ca60b0ee4771,HTTP,,Street,
Sichuan,China,,"https://www.windy.com/-Webcams/China/Sichuan/Shiban-tan/Chengdu/webcams/1579778267?34.053,103.491,5",40dd54cc96cf42d09a6f0882daed8172,HTTP,,Street,Duplicate of camera at line 17
Wuhan,China,,https://www.youtube.com/watch?v=Tf-4zQADLS8,d99ab450e8c54be197c1c563ac5c5af6,HTTP,,Street,
Hong Kong,China,,https://www.webcamgalore.com/webcam/China/Hong-Kong/11062.html,c15f7d742614409298f9197601b56c5c,HTTP,,Traffic,
